species,sex,subfamily,habitat,foraging_stratum,avg_span,volume,avg_brill,avg_chroma,avg_sex_dich
Sporophila_fringilloides,Female,Sporophilinae,F,U,0.040389629,1.14e-6,0.135590168,0.110042282,0.053
Sporophila_fringilloides,Male,Sporophilinae,F,U,0.052441724,2.71e-6,0.187427382,0.065344323,0.053
Donacospiza_albifrons,Female,Poospizinae,N,N,0.05704094,7.78e-6,0.161917302,0.148099435,0.016
Donacospiza_albifrons,Male,Poospizinae,N,N,0.066302661,7.85e-6,0.149188763,0.155191516,0.016
Dubusia_taeniata,Female,Thraupinae,F,U,0.171086803,1.46319e-4,0.164048112,0.120704714,0.022
Dubusia_taeniata,Male,Thraupinae,F,U,0.178927176,9.42e-5,0.166876255,0.120302975,0.022
Emberizoides_duidae,Female,Emberizoidinae,N,N,0.06679337,2.05e-5,0.127940251,0.103453176,0.027
Emberizoides_duidae,Male,Emberizoidinae,N,N,0.056256084,3.38e-5,0.138508898,0.121787772,0.027
Embernagra_longicauda,Female,Emberizoidinae,N,N,0.051043562,3.16e-5,0.164147396,0.116910306,0.015
Embernagra_longicauda,Male,Emberizoidinae,N,N,0.053573249,4.78e-5,0.177398347,0.122066138,0.015
Embernagra_platensis,Female,Emberizoidinae,N,N,0.053769191,4.32e-5,0.147899472,0.132631002,0.011
Embernagra_platensis,Male,Emberizoidinae,N,N,0.055182155,4.44e-5,0.148533795,0.127606418,0.011
Emberizoides_ypiranganus,Female,Emberizoidinae,N,N,0.054994086,4.66e-5,0.175464796,0.130014584,0.013
Emberizoides_ypiranganus,Male,Emberizoidinae,N,N,0.052582358,3.95e-5,0.163572894,0.122048758,0.013
Eucometis_penicillata,Female,Tachyphoninae,F,U,0.102451553,8.23e-5,0.185138477,0.212344119,0.014
Eucometis_penicillata,Male,Tachyphoninae,F,U,0.101869062,7.42e-5,0.179323338,0.218014177,0.014
Euneornis_campestris,Female,Coerebinae,F,C,0.026164615,2.99e-6,0.167470719,0.088811582,0.116
Euneornis_campestris,Male,Coerebinae,F,C,0.093719169,8.25e-6,0.108250287,0.061370801,0.116
Geospiza_conirostris,Female,Coerebinae,N,N,0.019095384,6.07e-7,0.0992543,0.07625198,0.027
Geospiza_conirostris,Male,Coerebinae,N,N,0.013107804,3.59e-7,0.078062569,0.050981175,0.027
Geospiza_difficilis,Female,Coerebinae,N,N,0.029901713,7.96e-7,0.13732869,0.095615603,0.032
Geospiza_difficilis,Male,Coerebinae,N,N,0.032724588,1.32e-6,0.073072927,0.066877894,0.032
Geospiza_fuliginosa,Female,Coerebinae,N,N,0.021964242,9.43e-7,0.148097988,0.104507414,0.031
Geospiza_fuliginosa,Male,Coerebinae,N,N,0.017477453,4.46e-7,0.075580999,0.07505755,0.031
Geospiza_magnirostris,Female,Coerebinae,N,N,0.024622255,9.25e-7,0.134687575,0.107372229,0.041
Geospiza_magnirostris,Male,Coerebinae,N,N,0.020403368,4.91e-7,0.081177889,0.067397268,0.041
Geospiza_scandens,Female,Coerebinae,N,N,0.020116943,1.02e-6,0.150036605,0.099432981,0.04
Geospiza_scandens,Male,Coerebinae,N,N,0.02514932,5.9e-7,0.07427665,0.060623738,0.04
Gubernatrix_cristata,Female,Thraupinae,N,N,0.066739778,4e-5,0.218190264,0.112983741,0.053
Gubernatrix_cristata,Male,Thraupinae,N,N,0.090435441,1.44e-5,0.202071191,0.146365216,0.053
Haplospiza_rustica,Female,Diglossinae,F,U,0.017181428,9.34e-7,0.120969274,0.107816411,0.076
Haplospiza_rustica,Male,Diglossinae,F,U,0.018008201,2.93e-7,0.118590692,0.035197924,0.076
Haplospiza_unicolor,Female,Diglossinae,F,C,0.026438848,1.46e-6,0.151774309,0.118579593,0.077
Haplospiza_unicolor,Male,Diglossinae,F,C,0.019593687,5.29e-7,0.127111018,0.0485329,0.077
Hemispingus_atropileus,Female,Poospizinae,F,U,0.092343168,7.48e-5,0.152953328,0.166236071,0.018
Hemispingus_atropileus,Male,Poospizinae,F,U,0.097851552,1.02376e-4,0.139911755,0.164623009,0.018
Hemispingus_calophrys,Female,Poospizinae,F,U,0.09937982,3.37e-5,0.134361683,0.179009477,0.024
Hemispingus_calophrys,Male,Poospizinae,F,U,0.081705889,4.16e-5,0.140889889,0.18270143,0.024
Hemithraupis_flavicollis,Female,Hemithraupinae,F,C,0.076959138,1.17e-5,0.159644643,0.155158094,0.1
Hemithraupis_flavicollis,Male,Hemithraupinae,F,C,0.147944911,1.2569e-4,0.214860094,0.114661355,0.1
Hemispingus_frontalis,Female,Poospizinae,F,U,0.059159675,1.33e-5,0.131532221,0.177371586,0.021
Hemispingus_frontalis,Male,Poospizinae,F,U,0.054490832,1.29e-5,0.119188348,0.181906173,0.021
Hemispingus_goeringi,Female,Poospizinae,F,U,0.108772518,2.52e-5,0.114134118,0.123025661,0.015
Hemispingus_goeringi,Male,Poospizinae,F,U,0.102612383,3.07e-5,0.121113023,0.117577034,0.015
Hemithraupis_guira,Female,Hemithraupinae,F,C,0.063351044,4.01e-5,0.212414128,0.156719173,0.062
Hemithraupis_guira,Male,Hemithraupinae,F,C,0.119769274,1.88391e-4,0.175467473,0.191555823,0.062
Hemispingus_melanotis,Female,Poospizinae,F,U,0.084276383,1.46e-5,0.132899098,0.174533035,0.023
Hemispingus_melanotis,Male,Poospizinae,F,U,0.078891141,1.04e-5,0.138834396,0.156938519,0.023
Hemispingus_parodii,Female,Poospizinae,F,U,0.073856767,1.91e-5,0.139110113,0.187334986,0.021
Hemispingus_parodii,Male,Poospizinae,F,U,0.062983086,6.96e-6,0.14101776,0.185231507,0.021
Hemispingus_reyi,Female,Poospizinae,F,U,0.072120538,1.98e-5,0.11625683,0.186746273,0.038
Hemispingus_reyi,Male,Poospizinae,F,U,0.076407011,3.44e-5,0.112212412,0.179926827,0.038
Hemithraupis_ruficapilla,Female,Hemithraupinae,F,C,0.071244477,5.53e-5,0.181673736,0.154241295,0.056
Hemithraupis_ruficapilla,Male,Hemithraupinae,F,C,0.116316983,1.97462e-4,0.172076913,0.194678672,0.056
Hemispingus_rufosuperciliaris,Female,Poospizinae,F,U,0.111454157,1.04e-5,0.091956609,0.148286678,0.02
Hemispingus_rufosuperciliaris,Male,Poospizinae,F,U,0.10074327,1.43e-5,0.093387938,0.16566662099999999,0.02
Hemispingus_superciliaris,Female,Poospizinae,F,C,0.077115787,2.64e-5,0.207993187,0.130846432,0.014
